,Zone,Utilisation,Conformité,NombreUtilisations,NombreBatiments,NombreEtages,SurfacePlancherTotal,ConsoSite/S(kBtu/sf),AgeBatiment
277,Centre,Bureau,Compliant,3,1.0,29,500000,44.29999924,33
278,Centre,Bureau,Compliant,3,0.0,10,132326,52.70000076,90
279,Centre,Bureau,Compliant,4,1.0,6,109830,87.90000153,32
280,Centre,Détente,Compliant,1,0.0,19,332067,113.8000031,43
281,Centre,Bureau,Compliant,3,1.0,10,130513,89.30000305,106
282,Centre,Bureau,Compliant,2,1.0,8,60660,55.29999924,96
283,Centre,Bureau,Compliant,1,1.0,14,137350,51.09999847,87
284,Centre,Bureau,Compliant,1,1.0,15,151039,43.40000153,87
285,Centre,Bureau,Compliant,5,1.0,30,755000,78.09999847,31
286,Centre,Bureau,Compliant,1,1.0,4,63540,62.0,110
287,Centre,Bureau,Compliant,3,1.0,10,130893,57.20000076,89
288,Centre,Autre,Compliant,3,1.0,5,79920,37.70000076,106
290,Centre,Autre,Compliant,4,1.0,6,147852,157.5,20
291,Centre,Autre,Compliant,3,0.0,4,267335,74.69999695,20
292,Centre,Bureau,Compliant,3,1.0,56,1605578,36.79999924,27
293,Centre,Bureau,Compliant,3,1.0,36,794592,35.20000076,36
294,Centre,Bureau,Compliant,2,1.0,21,456304,56.59999847,45
295,Centre,Bureau,Compliant,3,1.0,12,115857,45.20000076,30
296,Centre,Bureau,Compliant,2,1.0,4,87500,63.40000153,17
297,Centre,Bureau,Compliant,2,1.0,11,374405,69.09999847,18
298,Centre,Autre,Compliant,1,1.0,12,193500,98.40000153,31
299,Centre,Bureau,Compliant,2,1.0,11,102846,52.5,93
300,Centre,Bureau,Compliant,2,1.0,4,52800,46.90000153,91
302,Centre,Supermarché,Compliant,2,1.0,8,861702,19.89999962,87
303,Centre,Autre,Compliant,1,1.0,5,206950,93.19999695,17
305,Centre,Autre,Compliant,1,1.0,9,46710,89.30000305,28
306,Centre,Médical,Compliant,2,1.0,3,266000,85.90000153,71
307,Centre,Médical,Compliant,2,1.0,14,690158,78.19999695,24
308,Centre,Autre,Compliant,6,1.0,6,378443,283.7000122,15
309,Centre,Autre,Compliant,6,1.0,6,213834,707.2999878,15
310,Centre,Détente,Compliant,1,1.0,5,109017,86.90000153,37
311,Centre,Bureau,Compliant,2,1.0,5,275734,71.69999695,35
312,Sud,Industriel,Compliant,1,1.0,1,123061,16.20000076,15
313,Sud,Supermarché,Compliant,2,1.0,1,59090,46.59999847,53
314,Sud,Industriel,Compliant,1,1.0,1,106000,7.199999809,53
315,Centre,Bureau,Compliant,3,1.0,3,158600,125.5999985,54
316,Sud,Supermarché,Compliant,1,1.0,1,119661,6.5,56
317,Centre,Bureau,Compliant,1,1.0,7,139200,52.90000153,15
318,Centre,Bureau,Compliant,2,1.0,6,95721,32.0,32
319,Centre,Bureau,Compliant,2,2.0,5,213283,53.59999847,20
320,Nord,Bureau,Compliant,1,1.0,3,103697,179.1000061,15
321,Nord,Bureau,Compliant,2,1.0,5,74880,71.59999847,42
322,Nord,Bureau,Compliant,2,1.0,6,88774,70.59999847,37
323,Nord,Bureau,Compliant,4,1.0,5,122250,43.5,33
324,Nord,Bureau,Compliant,2,1.0,4,53730,88.30000305,37
325,Sud,Bureau,Compliant,1,1.0,3,55593,76.0,56
326,Centre,Bureau,Compliant,2,1.0,4,134056,65.19999695,34
327,Sud,Supermarché,Compliant,1,1.0,1,158415,141.3999939,11
328,Centre,Bureau,Compliant,4,1.0,8,287819,176.0,87
329,Centre,Autre,Compliant,1,1.0,8,158738,389.1000061,41
330,Centre,Bureau,Compliant,2,1.0,4,86995,51.40000153,31
331,Nord,Supermarché,Compliant,3,1.0,1,164437,104.0,17
332,Centre,Bureau,Compliant,3,1.0,5,184482,47.40000153,7
333,Centre,Médical,Compliant,2,1.0,3,55200,210.0,88
334,Centre,Médical,Compliant,1,1.0,4,241159,191.3999939,13
335,Centre,Bureau,Compliant,5,1.0,6,139282,37.29999924,12
336,Centre,Bureau,Compliant,3,1.0,5,271071,42.40000153,7
337,Centre,Industriel,Compliant,1,1.0,5,127800,21.70000076,102
338,Centre,Bureau,Compliant,2,1.0,5,560516,80.80000305,14
339,Centre,Bureau,Compliant,2,1.0,6,226592,90.90000153,15
341,Centre,Autre,Compliant,4,1.0,5,159700,270.3999939,13
342,Centre,Bureau,Compliant,4,1.0,4,209816,51.0,10
343,Centre,Bureau,Compliant,3,1.0,6,303103,40.70000076,10
344,Centre,Autre,Compliant,5,1.0,3,67380,42.09999847,62
345,Centre,Médical,Compliant,1,1.0,4,102235,236.5,53
346,Centre,Autre,Compliant,3,1.0,5,436497,171.1999969,8
347,Centre,Bureau,Compliant,2,1.0,5,88062,52.70000076,42
348,Centre,Bureau,Compliant,2,1.0,5,87178,54.5,44
349,Centre,Bureau,Compliant,2,1.0,5,87178,52.29999924,46
350,Centre,Bureau,Compliant,2,1.0,5,88000,50.0,45
351,Nord,Médical,Compliant,2,1.0,4,196749,176.8999939,28
352,Nord,Médical,Compliant,1,1.0,4,191276,87.69999695,22
353,Nord,Industriel,Compliant,11,2.0,2,111445,47.79999924,70
354,Sud,Industriel,Compliant,1,1.0,4,98475,11.10000038,19
355,Centre,Médical,Compliant,1,1.0,7,351530,198.1000061,16
356,Nord,Supermarché,Compliant,2,1.0,2,308965,119.9000015,21
357,Sud,Supermarché,Compliant,1,1.0,1,63225,103.1999969,8
358,Sud,Autre,Compliant,2,0.0,1,113780,31.39999962,61
359,Sud,Industriel,Compliant,1,1.0,1,243044,4.300000191,17
360,Nord,Autre,Compliant,3,1.0,3,280252,93.0,15
361,Centre,Autre,Compliant,2,1.0,3,66462,95.5,64
362,Nord,Supermarché,Compliant,1,1.0,1,131387,81.30000305,19
363,Nord,Industriel,Compliant,1,1.0,3,94400,11.69999981,17
364,Nord,Autre,Compliant,2,6.0,1,111900,79.0,52
365,Nord,Supermarché,Compliant,1,0.0,1,144776,92.69999695,32
366,Nord,Supermarché,Compliant,2,1.0,1,114000,150.8999939,49
367,Nord,Supermarché,Compliant,2,1.0,1,50083,173.0,19
368,Nord,Bureau,Compliant,1,1.0,3,124071,51.70000076,28
369,Nord,Bureau,Compliant,1,1.0,4,90000,43.29999924,16
370,Nord,Bureau,Compliant,2,1.0,3,96041,87.0,15
371,Nord,Bureau,Compliant,4,1.0,3,280957,68.69999695,17
372,Nord,Bureau,Compliant,2,1.0,4,243334,62.20000076,17
373,Centre,Autre,Compliant,9,1.0,6,154660,209.3000031,25
374,Sud,Bureau,Compliant,2,1.0,5,390295,31.60000038,34
375,Sud,Industriel,Compliant,2,1.0,2,90000,15.89999962,49
376,Sud,Supermarché,Compliant,1,1.0,1,50200,20.89999962,50
377,Nord,Bureau,Compliant,5,1.0,6,94033,56.59999847,91
378,Nord,Industriel,Compliant,1,1.0,2,63240,3.599999905,75
379,Nord,Autre,Compliant,2,1.0,5,322869,130.6999969,8
380,Nord,Industriel,Compliant,2,1.0,4,130293,3.599999905,28
381,Nord,Industriel,Compliant,1,1.0,4,106041,10.60000038,19
382,Centre,Industriel,Compliant,1,1.0,3,94470,10.60000038,60
383,Centre,Bureau,Compliant,3,1.0,10,181694,49.90000153,14
384,Nord,Supermarché,Non-Compliant,1,1.0,2,69492,4.599999905,29
385,Sud,Industriel,Compliant,1,1.0,1,22780,17.60000038,50
386,Sud,Supermarché,Compliant,2,1.0,1,124472,43.90000153,49
387,Centre,Bureau,Compliant,2,1.0,22,227556,37.29999924,46
388,Sud,Supermarché,Compliant,2,1.0,1,50065,30.60000038,49
389,Sud,Supermarché,Compliant,1,1.0,1,57540,44.90000153,47
390,Sud,Industriel,Compliant,1,1.0,1,85400,18.0,50
391,Sud,Industriel,Compliant,1,1.0,1,55700,9.300000191,50
392,Sud,Bureau,Compliant,2,1.0,1,53250,34.0,52
393,Centre,Bureau,Compliant,1,1.0,6,78672,27.70000076,29
394,Nord,Industriel,Compliant,1,1.0,3,64660,5.0,30
395,Centre,Autre,Compliant,3,1.0,2,75844,64.80000305,89
396,Sud,Supermarché,Compliant,1,1.0,1,161678,57.59999847,48
397,Sud,Supermarché,Compliant,1,1.0,1,101101,215.6000061,67
398,Sud,Supermarché,Compliant,1,1.0,1,52613,17.79999924,36
399,Sud,Autre,Compliant,2,1.0,1,56608,89.59999847,76
