,Quartier,AgeBatiment,NombreUtilisations,PremierTypePropriete,NombreBatiments,NombreEtages,SurfacePlancherTotal,SurfaceTotaleParking,SurfaceTotaleHorsParking,ListeUtilisationsBatiment,UtilisationPrincipale,SurfaceUtilisationPrincipale,UtilisationSecondaire,SurfaceUtilisationSecondaire,UtilisationTertiaire,SurfaceUtilisationTertiaire,Conformité,ConsoSite/S(kBtu/sf),ConsoSiteNorm/S(kBtu/sf),ConsoSource/S(kBtu/sf),ConsoSourceNorm/S(kBtu/sf),ConsoSiteTot(kBtu),ConsoSiteTotNorm(kBtu),Vapeur(kBtu),Électricité(kBtu),GazNaturel(kBtu),EmissionGES,IntensiteGES/S,TrancheAge,Pertes/S(kBtu/sf),ProportionVapeur,ProportionElectricité,ProportionGazNaturel,Latitude,Longitude,Zone,clusters_kmeans
356,NORTH,21,2,Supermarket / Grocery Store,1.0,2,308965,187878,121087,"Parking, Supermarket/Grocery Store",Supermarket/Grocery Store,121087.0,Parking,0.0,Parking,0.0,Compliant,119.9000015,122.5999985,310.2000122,310.8999939,14512786.0,14843382.0,0.0,10680826.0,3831959.0,277.98,0.9,"[0,29[",190.3000107,0.0,0.7359597254448594,0.264040205650383,47.7237,-122.29232,Nord,1
357,GREATER DUWAMISH,8,1,Supermarket / Grocery Store,1.0,1,63225,0,63225,Supermarket/Grocery Store,Supermarket/Grocery Store,63225.0,Aucune,0.0,Aucune,0.0,Compliant,103.1999969,103.1999969,323.8999939,323.8999939,6522551.5,6522551.5,0.0,6522551.0,0.0,45.47,0.72,"[0,29[",220.699997,0.0,0.999999923342882,0.0,47.56895,-122.33775,Sud,1
358,DELRIDGE,61,2,Other,0.0,1,113780,0,113780,"Office, Other - Services",Other - Services,91532.0,Office,22248.0,Aucune,0.0,Compliant,31.39999962,35.29999924,60.0,64.09999847,3574542.25,4021869.0,0.0,1470885.0,2103657.0,121.98,1.07,"[58,87[",28.60000038,0.0,0.4114890515002306,0.5885108785607444,47.56548,-122.35378,Sud,1
359,GREATER DUWAMISH,17,1,Warehouse,1.0,1,243044,0,243044,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,325424.0,Aucune,0.0,Aucune,0.0,Compliant,4.300000191,4.300000191,9.0,9.0,1396082.25,1396082.25,0.0,700977.0,695105.0,41.8,0.17,"[0,29[",4.699999809,0.0,0.5021029384192801,0.497896882508176,47.56419,-122.34262,Sud,1
360,LAKE UNION,15,3,Other,1.0,3,280252,156312,123940,"Office, Parking, Retail Store",Parking,156312.0,Office,116440.0,Retail Store,7500.0,Compliant,93.0,93.0,291.8999939,291.8999939,11521702.0,11521702.0,0.0,11521701.0,0.0,80.32,0.29,"[0,29[",198.89999390000003,0.0,0.9999999132072674,0.0,47.64942,-122.35024,Nord,1
361,MAGNOLIA / QUEEN ANNE,64,2,Other,1.0,3,66462,12998,53464,"Other, Parking",Other,72000.0,Parking,15000.0,Aucune,0.0,Compliant,95.5,95.5,299.8999939,299.8999939,6876439.5,6876439.5,0.0,6876438.0,0.0,47.94,0.72,"[58,87[",204.39999390000003,0.0,0.9999997818638556,0.0,47.63549,-122.34103,Centre,0
362,NORTHWEST,19,1,Retail Store,1.0,1,131387,0,131387,Retail Store,Retail Store,107931.0,Aucune,0.0,Aucune,0.0,Compliant,81.30000305,82.90000153,234.5,234.0,8773058.0,8949319.0,0.0,7704514.0,1068542.0,110.46,0.84,"[0,29[",153.19999695,0.0,0.8782016487295536,0.1217981232997661,47.72053,-122.34739,Nord,1
363,NORTHWEST,17,1,Warehouse,1.0,3,94400,0,94400,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,67155.0,Aucune,0.0,Aucune,0.0,Compliant,11.69999981,11.89999962,33.5,33.70000076,784364.5,800622.875,0.0,680865.0,103500.0,10.24,0.11,"[0,29[",21.80000019,0.0,0.8680466798280646,0.1319539576306679,47.72377,-122.34095,Nord,1
364,NORTHWEST,52,2,Other,6.0,1,111900,0,111900,"Parking, Strip Mall",Strip Mall,124231.0,Parking,0.0,Aucune,0.0,Compliant,79.0,81.09999847,190.5,193.0,9814820.0,10079993.0,0.0,6390148.0,3424670.0,226.43,2.02,"[29,58[",111.5,0.0,0.651071339056651,0.3489284571698717,47.72546,-122.34659,Nord,1
365,NORTHWEST,32,1,Supermarket / Grocery Store,0.0,1,144776,0,144776,Wholesale Club/Supercenter,Wholesale Club/Supercenter,144776.0,Aucune,0.0,Aucune,0.0,Compliant,92.69999695,95.5,246.1999969,249.1000061,13424079.0,13827966.0,0.0,10307295.0,3116783.0,237.39,1.64,"[29,58[",153.49999995000002,0.0,0.76782139020487,0.2321785353021239,47.72803,-122.34214,Nord,1
